SampleID,FlumeID,Treatment,Date,SampleType,SampleScale,SampleTime,Parameter,Units,Value
6091,Flume2,R4,11/7/2019,water,flume_474,plateau,flux15N,uM15N/L,62.5
6093,Flume2,R4,11/7/2019,water,flume_474,plateau,flux15N,uM15N/L,84.5
1001,Flume1,R0HF,10/24/2019,water,flume_,background,flux15N,uM15N/L,2.7
1003,Flume1,R0HF,10/24/2019,water,flume_,background,flux15N,uM15N/L,4.0
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,flux15N,uM15N/L,74.4
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,flux15N,uM15N/L,74.9
1103,Flume1,R0HF,10/24/2019,water,flume_540,plateau,flux15N,uM15N/L,65.0
1011,Flume1,R0HF,10/24/2019,water,flume_0,plateau,flux15N,uM15N/L,83.0
1013,Flume1,R0HF,10/24/2019,water,flume_0,plateau,flux15N,uM15N/L,76.4
1023,Flume1,R0HF,10/24/2019,water,flume_60,plateau,flux15N,uM15N/L,85.6
1033,Flume1,R0HF,10/24/2019,water,flume_120,plateau,flux15N,uM15N/L,80.4
2011,Flume2,R0LF,10/24/2019,water,flume_0,plateau,flux15N,uM15N/L,50.6
2013,Flume2,R0LF,10/24/2019,water,flume_0,plateau,flux15N,uM15N/L,58.8
2021,Flume2,R0LF,10/24/2019,water,flume_60,plateau,flux15N,uM15N/L,42.1
2021,Flume2,R0LF,10/24/2019,water,flume_60,plateau,flux15N,uM15N/L,41.8
2023,Flume2,R0LF,10/24/2019,water,flume_60,plateau,flux15N,uM15N/L,59.2
2031,Flume2,R0LF,10/24/2019,water,flume_120,plateau,flux15N,uM15N/L,51.2
2033,Flume2,R0LF,10/24/2019,water,flume_120,plateau,flux15N,uM15N/L,56.7
2101,Flume2,R0LF,10/24/2019,water,flume_540,plateau,flux15N,uM15N/L,44.8
2103,Flume2,R0LF,10/24/2019,water,flume_540,plateau,flux15N,uM15N/L,45.6
2103,Flume2,R0LF,10/24/2019,water,flume_540,plateau,flux15N,uM15N/L,45.8
3003,Flume1,R6,11/1/2019,water,flume_,background,Mass15N,mg,29.9
3011,Flume1,R6,11/1/2019,water,flume_0,plateau,Mass15N,mg,849.7
3013,Flume1,R6,11/1/2019,water,flume_0,plateau,Mass15N,mg,672.8
3031,Flume1,R6,11/1/2019,water,flume_162,plateau,Mass15N,mg,734.6
3103,Flume1,R6,11/1/2019,water,flume_542,plateau,Mass15N,mg,642.8
4011,Flume2,R2,11/1/2019,water,flume_0,plateau,Mass15N,mg,706.3
4013,Flume2,R2,11/1/2019,water,flume_0,plateau,Mass15N,mg,859.9
4021,Flume2,R2,11/1/2019,water,flume_42,plateau,Mass15N,mg,691.4
4033,Flume2,R2,11/1/2019,water,flume_102,plateau,Mass15N,mg,763.8
4101,Flume2,R2,11/1/2019,water,flume_542,plateau,Mass15N,mg,701.3
4103,Flume2,R2,11/1/2019,water,flume_542,plateau,Mass15N,mg,824.4
5011,Flume1,R10,11/7/2019,water,flume_0,plateau,Mass15N,mg,944.0
5021,Flume1,R10,11/7/2019,water,flume_59,plateau,Mass15N,mg,510.1
5023,Flume1,R10,11/7/2019,water,flume_59,plateau,Mass15N,mg,695.1
5031,Flume1,R10,11/7/2019,water,flume_128,plateau,Mass15N,mg,934.4
5033,Flume1,R10,11/7/2019,water,flume_128,plateau,Mass15N,mg,929.6
5033,Flume1,R10,11/7/2019,water,flume_128,plateau,Mass15N,mg,708.4
5092,Flume1,R10,11/7/2019,water,flume_474,plateau,Mass15N,mg,830.2
5092,Flume1,R10,11/7/2019,water,flume_474,plateau,Mass15N,mg,828.3
6011,Flume2,R4,11/7/2019,water,flume_0,plateau,Mass15N,mg,1162.3
6021,Flume2,R4,11/7/2019,water,flume_59,plateau,Mass15N,mg,1110.9
6023,Flume2,R4,11/7/2019,water,flume_59,plateau,Mass15N,mg,543.3
6031,Flume2,R4,11/7/2019,water,flume_128,plateau,Mass15N,mg,664.7
6033,Flume2,R4,11/7/2019,water,flume_128,plateau,Mass15N,mg,681.4
6091,Flume2,R4,11/7/2019,water,flume_474,plateau,Mass15N,mg,709.2
6093,Flume2,R4,11/7/2019,water,flume_474,plateau,Mass15N,mg,959.4
1001,Flume1,R0HF,10/24/2019,water,flume_,background,Mass15N,mg,32.4
1003,Flume1,R0HF,10/24/2019,water,flume_,background,Mass15N,mg,48.4
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,Mass15N,mg,743.5
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,Mass15N,mg,748.7
1103,Flume1,R0HF,10/24/2019,water,flume_540,plateau,Mass15N,mg,649.5
1011,Flume1,R0HF,10/24/2019,water,flume_0,plateau,Mass15N,mg,1010.4
1013,Flume1,R0HF,10/24/2019,water,flume_0,plateau,Mass15N,mg,929.3
1023,Flume1,R0HF,10/24/2019,water,flume_60,plateau,Mass15N,mg,1020.3
1033,Flume1,R0HF,10/24/2019,water,flume_120,plateau,Mass15N,mg,939.1
2011,Flume2,R0LF,10/24/2019,water,flume_0,plateau,Mass15N,mg,809.3
2013,Flume2,R0LF,10/24/2019,water,flume_0,plateau,Mass15N,mg,940.6
2021,Flume2,R0LF,10/24/2019,water,flume_60,plateau,Mass15N,mg,657.2
2021,Flume2,R0LF,10/24/2019,water,flume_60,plateau,Mass15N,mg,653.3
